z,alpha,dalpha_dz,d2alpha_dz2,Rule1Weight,Rule2Weight,Rule3Weight,DominantRule
-0.45199999999999996,0.08183124846549629,0.1514815364390755,0.2925753188921795,0.4487993766628785,0.5345042050702511,0.016696418266870374,2
-0.45099999999999996,0.0819828762892143,0.151774404109961,0.293161548245435,0.4478715425741026,0.5353447850730955,0.01678367235280202,2
-0.44999999999999996,0.08213479727371621,0.15206785953556637,0.2937508350488169,0.4469439747187052,0.5361847052178166,0.01687132006347818,2
-0.44899999999999995,0.08228701200828543,0.15236190578005862,0.2943431928054127,0.44601667919185667,0.5370239580109739,0.01695936279716941,2
-0.44799999999999995,0.08243952108527633,0.1526565459211772,0.2949386349489211,0.4450896620819443,0.537862535962831,0.017047801955224574,2
-0.44699999999999995,0.08259232510012779,0.15295178304995646,0.29553717477773217,0.44416292947041697,0.5387004315875125,0.017136638942070598,2
-0.44599999999999995,0.08274542465137624,0.15324762027073266,0.29613882563533894,0.44323648743162913,0.539537637403159,0.01722587516521198,2
-0.44499999999999995,0.08289882034066925,0.15354406070122714,0.29674360079584544,0.44231034203268604,0.5403741459320834,0.017315512035230428,2
-0.44399999999999995,0.0830525127727787,0.15384110747232435,0.2973515134604973,0.4413844993332889,0.5412099497009267,0.01740555096578441,2
-0.44299999999999995,0.0832065025556139,0.15413876372814814,0.2979625767784985,0.44045896538558005,0.542045041240811,0.017495993373608874,2
-0.44199999999999995,0.083360790300235,0.15443703262588135,0.2985768037810918,0.4395337462339897,0.5428794130874955,0.017586840678514664,2
-0.44099999999999995,0.08351537662086567,0.15473591733571032,0.2991942075342144,0.43860884791508237,0.5437130577815298,0.01767809430338801,2
-0.43999999999999995,0.08367026213490641,0.15503542104094978,0.2998148010517618,0.43768427645740293,0.5445459678684069,0.017769755674190084,2
-0.43899999999999995,0.08382544746294757,0.15533554693781385,0.30043859719497384,0.4367600378813255,0.545378135898718,0.017861826219956516,2
-0.43799999999999994,0.08398093322878204,0.15563629823533973,0.30106560880427374,0.4358361381989,0.5462095544283034,0.01795430737279671,2
-0.43699999999999994,0.08413672005941825,0.1559376781554224,0.30169584870620686,0.4349125834137011,0.5470402160184057,0.018047200567893364,2
-0.43599999999999994,0.08429280858509289,0.15623968993275214,0.30232932964405185,0.43398937952067673,0.5478701132358214,0.018140507243501827,2
-0.43499999999999994,0.08444919943928375,0.1565423368147105,0.30296606425700395,0.43306653250599797,0.5486992386530525,0.018234228840949496,2
-0.43399999999999994,0.08460589325872231,0.15684562206126615,0.3036060651218084,0.43214404834690795,0.549527584848457,0.0183283668046352,2
-0.43299999999999994,0.08476289068340628,0.15714954894495411,0.30424934479439364,0.43122193301157224,0.5503551444063995,0.01842292258202839,2
-0.43199999999999994,0.08492019235661222,0.15745412075085494,0.3048959157751771,0.43030019245893036,0.5511819099174011,0.018517897623668542,2
-0.43099999999999994,0.085077798924908,0.15775934077650447,0.3055457904570233,0.42937883263854637,0.5520078739782893,0.01861329338316441,2
-0.42999999999999994,0.08523571103816523,0.15806521233176898,0.3061989811529994,0.42845785949046095,0.5528330291923459,0.01870911131719331,2
-0.42899999999999994,0.08539392934957153,0.15837173873881047,0.3068555001588255,0.42753727894504306,0.5536573681694568,0.01880535288550025,2
-0.42799999999999994,0.08555245451564285,0.15867892333208664,0.3075153596938937,0.4266170969228442,0.5544808835262586,0.01890201955089715,2
-0.42699999999999994,0.0857112871962357,0.15898676945819826,0.308178571859635,0.4256973193344504,0.5553035678862874,0.018999112779262105,2
-0.42599999999999993,0.08587042805455924,0.1592952804758059,0.3088451486915608,0.4247779520803367,0.5561254138801249,0.019096634039538433,2
-0.42499999999999993,0.08602987775718732,0.15960445975558138,0.30951510222171325,0.4238590010507218,0.5569464141455446,0.019194584803733802,2
-0.42399999999999993,0.08618963697407041,0.15991431068024933,0.3101884443953981,0.4229404721254229,0.5577665613276578,0.019292966546919237,2
-0.42300000000000004,0.08634970637854782,0.16022483664437218,0.31086518702955174,0.42202237117371183,0.5585858480790598,0.019391780747228412,2
-0.42200000000000004,0.08651008664735915,0.16053604105430844,0.3115453418786604,0.4211047040541701,0.5594042670599733,0.01949102888585648,2
-0.42100000000000004,0.08667077846065643,0.1608479273281295,0.31222892064516866,0.42018747661454736,0.5602218109383936,0.019590712447059164,2
-0.42000000000000004,0.08683178250201541,0.16116049889559877,0.31291593497600995,0.41927069469161704,0.5610384723902311,0.019690832918151668,2
-0.41900000000000004,0.08699309945844763,0.16147375919808152,0.3136063963932176,0.4183543641110361,0.5618542440994563,0.01979139178950769,2
-0.41800000000000004,0.08715473002041157,0.1617877116883852,0.3143003163667832,0.4174384906872022,0.5626691187582396,0.019892390554558347,2
-0.41700000000000004,0.0873166748818244,0.16210235983081508,0.3149977063077178,0.41652308022311363,0.5634830890670954,0.019993830709791025,2
-0.41600000000000004,0.0874789347400732,0.16241770710100065,0.315698577522949,0.41560813851022904,0.5642961477350227,0.02009571375474825,2
-0.41500000000000004,0.0876415102960264,0.16273375698586098,0.31640294124654605,0.41469367132832824,0.5651082874796451,0.020198041192026558,2
-0.41400000000000003,0.08780440225404493,0.16305051298349374,0.3171108086119642,0.41377968444537266,0.5659195010273521,0.02030081452727527,2
-0.41300000000000003,0.08796761132199339,0.1633679786030849,0.3178221906971476,0.41286618361736743,0.5667297811134373,0.02040403526919532,2
-0.41200000000000003,0.0881311382112511,0.16368615736488804,0.3185370985002431,0.4119531745882239,0.5675391204822382,0.020507704929537896,2
-0.41100000000000003,0.08829498363672317,0.1640050528000854,0.31925554292919184,0.41104066308962284,0.568347511887274,0.020611825023103242,2
-0.41000000000000003,0.08845914831685127,0.16432466845074642,0.3199775348190767,0.4101286548408777,0.569154948091383,0.020716397067739308,2
-0.40900000000000003,0.08862363297362466,0.16464500786972355,0.3207030848800804,0.4092171555487992,0.5699614218668603,0.020821422584340485,2
-0.40800000000000003,0.08878843833259072,0.16496607462050658,0.3214322037599357,0.4083061709075609,0.570766925995593,0.02092690309684609,2
-0.40700000000000003,0.08895356512286567,0.16528787227724343,0.3221649020820891,0.4073957065985641,0.5715714532691969,0.021032840132239022,2
-0.406,0.0891190140771452,0.16561040442467076,0.32290119029998426,0.40648576829030497,0.5723749964891506,0.02113923522054439,2
-0.405,0.08928478593171502,0.1659336746578434,0.3236410787491037,0.40557636163824135,0.5731775484669306,0.021246089894828016,2
-0.404,0.08945088142646089,0.16625768658216897,0.324384577789216,0.404667492284661,0.5739791020241443,0.021353405691194777,2
-0.403,0.08961730130487935,0.16658244381342183,0.3251316976690674,0.40375916585854954,0.5747796499926634,0.021461184148787237,2
-0.402,0.08978404631408773,0.1669079499775071,0.3258824484778097,0.40285138797546016,0.5755791852147557,0.021569426809784086,2
-0.401,0.08995111720483437,0.16723420871037745,0.32663684022132794,0.40194416423738377,0.5763777005432178,0.021678135219398497,2
-0.4,0.09011851473150849,0.16756122365794976,0.3273948828638737,0.40103750023261914,0.5771751888415044,0.021787310925876407,2
-0.399,0.09028623965215027,0.1678889984761052,0.3281565863072486,0.40013140153564497,0.57797164298386,0.021896955480494952,2
-0.398,0.0904542927284607,0.16821753683056426,0.3289219602589652,0.39922587370699164,0.5787670558554474,0.022007070437560762,2
-0.397,0.0906226747258114,0.16854684239662313,0.32969101434326936,0.3983209222931145,0.5795614203524774,0.02211765735440819,2
-0.396,0.09079138641325395,0.1688769188592508,0.3304637582052236,0.3974165528262672,0.5803547293823353,0.022228717791397495,2
-0.395,0.0909604285635299,0.16920776991303357,0.33124020132682647,0.39651277082437625,0.5811469758637106,0.022340253311913118,2
-0.394,0.09112980195308001,0.16953939926190445,0.332020353023543,0.3956095817909169,0.5819381527267213,0.022452265482361844,2
-0.393,0.09129950736205371,0.16987181061908066,0.33280422259002157,0.3947069912147876,0.5827282529130416,0.02256475587217088,2
-0.392,0.09146954557431818,0.1702050077070845,0.3335918192480522,0.39380500457018824,0.5835172693760258,0.02267772605378588,2
-0.391,0.09163991737746788,0.17053899425757676,0.3343831520563609,0.39290362731649736,0.5843051950808336,0.02279117760266913,2
-0.39,0.09181062356283333,0.17087377401119722,0.33517822999734576,0.39200286489814945,0.5850920230045532,0.022905112097297422,2
-0.389,0.09198166492549027,0.17120935071757146,0.3359770619562605,0.3911027227445154,0.5858777461363244,0.023019531119160216,2
-0.388,0.09215304226426847,0.17154572813510974,0.3367796567350781,0.39020320626978144,0.5866623574774612,0.023134436252757327,2
