y,delta,z,alpha,mu1,mu2,mu3
-1.96,0.96,0.5063,0.50340426,0.021112414,0.48464307,0.49424452
-1.96,1.0,0.508168,0.5046381,0.020932166,0.48330867,0.4957591
-1.96,1.04,0.5100278,0.50586617,0.02075403,0.48197913,0.49726683
-1.96,1.08,0.51187944,0.5070885,0.020578003,0.4806544,0.4987676
-1.96,1.12,0.5137227,0.5083049,0.020404052,0.47933462,0.5002613
-1.96,1.16,0.51555735,0.5095153,0.020232184,0.47802013,0.5017477
-1.96,1.2,0.51738316,0.5107194,0.02006239,0.47671103,0.5032265
-1.96,1.24,0.51919985,0.51191723,0.019894665,0.47540763,0.50469774
-1.96,1.28,0.52100736,0.51310843,0.019729007,0.47410995,0.50616103
-1.96,1.32,0.52280533,0.514293,0.019565405,0.47281837,0.5076162
-1.96,1.36,0.52459353,0.5154707,0.01940387,0.4715331,0.50906307
-1.96,1.4,0.5263717,0.51664126,0.019244391,0.47025424,0.5105013
-1.96,1.44,0.5281396,0.5178046,0.019086972,0.46898213,0.5119308
-1.96,1.48,0.5298969,0.51896065,0.018931596,0.46771705,0.5133514
-1.96,1.52,0.53164333,0.52010894,0.018778281,0.46645918,0.5147626
-1.96,1.56,0.5333786,0.5212493,0.018627023,0.46520874,0.5161642
-1.96,1.6,0.5351025,0.5223817,0.018477807,0.46396598,0.51755613
-1.96,1.64,0.53681463,0.52350605,0.018330637,0.46273124,0.5189382
-1.96,1.68,0.5385148,0.52462184,0.018185511,0.46150464,0.52030987
-1.96,1.72,0.5402026,0.52572906,0.018042441,0.46028647,0.5216711
-1.96,1.76,0.5418779,0.52682745,0.017901389,0.45907694,0.52302164
-1.96,1.8,0.54354054,0.5279171,0.017762383,0.4578762,0.52436143
-1.96,1.84,0.5451901,0.5289976,0.017625382,0.45668456,0.52569014
-1.96,1.88,0.54682624,0.5300687,0.017490415,0.45550224,0.52700734
-1.96,1.92,0.54844904,0.5311305,0.01735744,0.45432928,0.5283132
-1.96,1.96,0.5500581,0.5321828,0.017226467,0.453166,0.52960753
-1.96,2.0,0.55165327,0.5332254,0.017097484,0.45201257,0.53089
-1.92,-2.0,0.3402177,0.39484078,0.04346403,0.5948541,0.3616818
-1.92,-1.96,0.34287685,0.3965258,0.042991735,0.59328264,0.36372563
-1.92,-1.92,0.34551704,0.39820156,0.042527016,0.5917142,0.36575875
-1.92,-1.88,0.34813857,0.39986822,0.04206969,0.59014904,0.36778134
-1.92,-1.84,0.3507418,0.4015258,0.04161958,0.588587,0.36979347
-1.92,-1.8,0.35332718,0.40317443,0.04117654,0.5870282,0.37179524
-1.92,-1.76,0.355895,0.4048144,0.040740337,0.58547264,0.373787
-1.92,-1.72,0.35844576,0.40644577,0.04031087,0.5839203,0.37576878
-1.92,-1.68,0.36097977,0.40806872,0.039887942,0.58237123,0.37774083
-1.92,-1.64,0.36349738,0.40968335,0.0394714,0.5808254,0.37970322
-1.92,-1.6,0.3659991,0.41129,0.039061073,0.5792826,0.38165632
-1.92,-1.56,0.36848518,0.41288865,0.038656827,0.57774293,0.38360018
-1.92,-1.52,0.3709561,0.4144795,0.038258534,0.5762065,0.38553494
-1.92,-1.48,0.3734122,0.41606277,0.037866004,0.57467306,0.38746098
-1.92,-1.44,0.3758539,0.41763863,0.03747909,0.57314247,0.3893784
-1.92,-1.4,0.37828153,0.41920725,0.037097685,0.57161486,0.3912874
-1.92,-1.36,0.38069543,0.42076874,0.036721673,0.57009023,0.39318812
-1.92,-1.32,0.38309607,0.4223233,0.03635088,0.5685682,0.3950808
-1.92,-1.28,0.38548368,0.4238711,0.035985205,0.56704915,0.39696562
-1.92,-1.24,0.3878587,0.42541233,0.035624545,0.5655327,0.3988428
-1.92,-1.2,0.39022127,0.42694697,0.035268757,0.56401885,0.40071237
-1.92,-1.16,0.39257205,0.4284755,0.034917712,0.56250745,0.4025748
-1.92,-1.12,0.394911,0.42999765,0.03457133,0.56099874,0.40442988
-1.92,-1.08,0.3972386,0.4315139,0.034229506,0.5594924,0.40627807
-1.92,-1.04,0.39955518,0.43302423,0.03389213,0.55798846,0.40811938
-1.92,-1.0,0.4018609,0.4345288,0.033559106,0.5564869,0.409954
-1.92,-0.96,0.40415603,0.43602768,0.033230364,0.55498767,0.41178203
-1.92,-0.92,0.40644088,0.43752095,0.032905772,0.55349064,0.41360354
-1.92,-0.88,0.40871575,0.4390089,0.032585252,0.5519959,0.4154189
-1.92,-0.84,0.41098064,0.44049147,0.032268744,0.5505034,0.41722792
-1.92,-0.8,0.41323596,0.44196874,0.03195619,0.54901296,0.41903087
-1.92,-0.76,0.41548195,0.4434409,0.03164744,0.5475247,0.42082787
-1.92,-0.72,0.41771865,0.444908,0.031342484,0.5460386,0.42261893
-1.92,-0.68,0.41994634,0.44637007,0.031041227,0.5445546,0.4244042
-1.92,-0.64,0.42216516,0.44782722,0.030743599,0.5430727,0.42618373
-1.92,-0.6,0.42437524,0.4492795,0.03044954,0.5415929,0.4279576
-1.92,-0.56,0.4265767,0.4507269,0.030159008,0.54011524,0.42972577
-1.92,-0.52,0.42876974,0.45216948,0.029871937,0.5386397,0.43148836
-1.92,-0.48,0.4309545,0.45360738,0.029588245,0.5371663,0.43324545
-1.92,-0.44,0.43313107,0.4550406,0.029307878,0.53569496,0.43499714
-1.92,-0.4,0.43529955,0.45646918,0.029030817,0.5342259,0.43674335
-1.92,-0.36,0.43746004,0.45789307,0.028756976,0.5327589,0.43848413
-1.92,-0.32,0.43961266,0.45931235,0.028486324,0.5312941,0.44021952
-1.92,-0.28,0.4417575,0.4607271,0.028218808,0.5298316,0.44194958
-1.92,-0.24,0.44389457,0.46213725,0.027954377,0.5283714,0.4436743
-1.92,-0.2,0.44602403,0.46354285,0.027693002,0.5269134,0.44539368
-1.92,-0.16,0.4481459,0.46494383,0.02743463,0.52545774,0.44710764
-1.92,-0.12,0.4502602,0.46634027,0.027179228,0.52400446,0.44881633
-1.92,-0.08,0.45236713,0.46773228,0.026926732,0.52255356,0.45051977
-1.92,-0.04,0.4544666,0.46911967,0.026677113,0.5211052,0.45221776
-1.92,0.0,0.45655864,0.4705025,0.026430342,0.5196593,0.4539104
-1.92,0.04,0.45864353,0.47188085,0.026186371,0.5182158,0.45559785
-1.92,0.08,0.460721,0.4732546,0.025945185,0.5167751,0.4572798
-1.92,0.12,0.4627913,0.47462383,0.025706714,0.5153368,0.45895645
-1.92,0.16,0.46485433,0.47598848,0.025470955,0.51390135,0.4606277
-1.92,0.2,0.46691018,0.47734848,0.025237858,0.51246864,0.4622935
-1.92,0.24,0.46895894,0.47870404,0.025007376,0.5110386,0.463954
-1.92,0.28,0.47100055,0.48005494,0.024779504,0.5096115,0.46560904
-1.92,0.32,0.47303495,0.4814011,0.02455421,0.50818723,0.46725848
-1.92,0.36,0.47506225,0.4827428,0.024331456,0.5067661,0.46890256
-1.92,0.4,0.4770825,0.48407972,0.024111198,0.5053478,0.47054106
-1.92,0.44,0.47909558,0.48541197,0.023893433,0.50393265,0.472174
-1.92,0.48,0.48110163,0.48673955,0.023678109,0.5025205,0.47380137
-1.92,0.52,0.48310044,0.48806226,0.023465222,0.50111175,0.475423
-1.92,0.56,0.4850921,0.48938024,0.023254728,0.49970624,0.47703898
-1.92,0.6,0.48707664,0.49069345,0.023046618,0.49830413,0.47864926
-1.92,0.64,0.48905388,0.49200165,0.022840872,0.49690548,0.4802536
-1.92,0.68,0.49102387,0.493305,0.022637447,0.49551037,0.48185214
-1.92,0.72,0.49298653,0.49460325,0.02243633,0.49411896,0.48344466
-1.92,0.76,0.49494168,0.49589643,0.02223753,0.4927314,0.48503107
-1.92,0.8,0.49688947,0.49718457,0.02204099,0.4913476,0.48661143
-1.92,0.84,0.49882966,0.49846742,0.021846708,0.4899678,0.4881855
-1.92,0.88,0.500762,0.4997448,0.021654686,0.48859233,0.489753
-1.92,0.92,0.5026866,0.50101686,0.021464875,0.487221,0.49131417
-1.92,0.96,0.50460327,0.5022834,0.02127729,0.4858541,0.49286863
-1.92,1.0,0.50651175,0.50354415,0.021091912,0.48449183,0.49441624
-1.92,1.04,0.50841194,0.5047991,0.02090873,0.48313436,0.49595687
-1.92,1.08,0.51030374,0.50604826,0.020727728,0.48178178,0.49749047
-1.92,1.12,0.5121868,0.5072914,0.020548912,0.4804344,0.49901673
-1.92,1.16,0.51406103,0.5085281,0.020372268,0.4790923,0.5005354
-1.92,1.2,0.5159261,0.50975853,0.020197783,0.47775578,0.5020464
-1.92,1.24,0.5177818,0.51098233,0.020025482,0.4764251,0.50354946
-1.92,1.28,0.519628,0.51219946,0.01985531,0.47510034,0.5050444
-1.92,1.32,0.52146417,0.5134094,0.019687334,0.47378188,0.5065307
-1.92,1.36,0.52329046,0.51461256,0.019521479,0.4724698,0.5080088
-1.92,1.4,0.5251062,0.5158082,0.019357776,0.47116446,0.50947773
-1.92,1.44,0.5269112,0.51699644,0.019196229,0.46986616,0.5109377
-1.92,1.48,0.52870524,0.5181768,0.019036839,0.46857503,0.51238817
-1.92,1.52,0.53048813,0.5193494,0.018879578,0.46729127,0.5138291
-1.92,1.56,0.53225935,0.52051383,0.018724471,0.46601537,0.5152602
-1.92,1.6,0.53401864,0.52166986,0.018571505,0.4647474,0.5166811
-1.92,1.64,0.53576595,0.5228175,0.018420666,0.46348757,0.51809174
-1.92,1.68,0.5375007,0.52395636,0.018271971,0.46223634,0.51949173
-1.92,1.72,0.5392228,0.5250863,0.018125385,0.46099365,0.5208809
-1.92,1.76,0.54093194,0.5262073,0.01798092,0.45975998,0.5222591
-1.92,1.8,0.5426278,0.52731895,0.017838575,0.4585354,0.52362597
-1.92,1.84,0.5443103,0.52842134,0.01769833,0.45732018,0.5249815
-1.92,1.88,0.54597896,0.5295141,0.017560188,0.4561146,0.5263253
-1.92,1.92,0.5476339,0.5305972,0.017424123,0.45491853,0.52765733
-1.92,1.96,0.5492746,0.5316705,0.017290125,0.45373246,0.5289774
-1.92,2.0,0.5509012,0.5327339,0.017158192,0.45255643,0.5302854
-1.88,-2.0,0.3353848,0.39178556,0.04433336,0.59768915,0.35797742
-1.88,-1.96,0.33809236,0.39349604,0.043844603,0.5961043,0.36005107
-1.88,-1.92,0.34078068,0.3951973,0.043363675,0.5945222,0.3621142
-1.88,-1.88,0.34345013,0.39688942,0.04289049,0.5929427,0.36416674
-1.88,-1.84,0.34610096,0.3985726,0.042424798,0.5913663,0.36620894
-1.88,-1.8,0.3487337,0.40024686,0.041966446,0.58979255,0.36824095
-1.88,-1.76,0.3513486,0.40191254,0.041515242,0.5882218,0.370263
-1.88,-1.72,0.35394603,0.40356943,0.04107107,0.58665395,0.37227497
-1.88,-1.68,0.3565265,0.40521806,0.040633667,0.585089,0.37427732
-1.88,-1.64,0.35909033,0.40685838,0.040202938,0.58352697,0.37627012
-1.88,-1.6,0.36163786,0.4084906,0.039778717,0.58196783,0.3782535
-1.88,-1.56,0.3641695,0.41011477,0.03936081,0.5804115,0.38022763
-1.88,-1.52,0.36668572,0.41173133,0.03894908,0.5788581,0.3821929
-1.88,-1.48,0.36918682,0.41334018,0.038543377,0.57730734,0.38414928
-1.88,-1.44,0.3716731,0.41494155,0.038143583,0.5757595,0.386097
-1.88,-1.4,0.3741451,0.41653562,0.037749518,0.5742143,0.38803625
-1.88,-1.36,0.37660313,0.41812256,0.037361033,0.57267165,0.3899673
-1.88,-1.32,0.3790476,0.41970265,0.03697801,0.5711317,0.39189035
-1.88,-1.28,0.38147876,0.42127582,0.036600336,0.5695942,0.39380544
-1.88,-1.24,0.3838971,0.42284238,0.036227863,0.56805927,0.39571285
-1.88,-1.2,0.3863028,0.42440248,0.035860475,0.5665267,0.39761278
-1.88,-1.16,0.38869628,0.42595625,0.03549806,0.56499654,0.3995054
-1.88,-1.12,0.39107785,0.42750376,0.035140492,0.5634687,0.4013908
-1.88,-1.08,0.39344788,0.42904532,0.03478767,0.5619431,0.40326923
-1.88,-1.04,0.39580652,0.43058085,0.03443948,0.56041974,0.40514073
-1.88,-1.0,0.3981542,0.4321107,0.03409583,0.55889857,0.4070056
-1.88,-0.96,0.40049118,0.43363485,0.033756595,0.5573794,0.4088639
-1.88,-0.92,0.40281764,0.43515342,0.033421744,0.5558625,0.4107158
-1.88,-0.88,0.40513396,0.43666667,0.0330911,0.55434746,0.41256145
-1.88,-0.84,0.4074402,0.43817443,0.03276464,0.5528346,0.41440076
-1.88,-0.8,0.40973678,0.43967706,0.03244225,0.55132353,0.41623417
-1.88,-0.76,0.41202384,0.44117463,0.03212386,0.54981446,0.41806164
-1.88,-0.72,0.41430157,0.44266713,0.03180937,0.54830736,0.4198833
-1.88,-0.68,0.41657013,0.4441546,0.03149875,0.54680216,0.4216991
-1.88,-0.64,0.41882974,0.4456371,0.031191923,0.5452989,0.42350918
-1.88,-0.6,0.42108053,0.4471148,0.030888777,0.5437975,0.42531368
-1.88,-0.56,0.42332277,0.4485878,0.03058928,0.542298,0.4271127
-1.88,-0.52,0.42555654,0.45005608,0.030293347,0.54080045,0.42890623
-1.88,-0.48,0.42778194,0.45151964,0.030000951,0.53930473,0.4306943
-1.88,-0.44,0.42999917,0.45297855,0.02971201,0.537811,0.432477
-1.88,-0.4,0.4322082,0.45443285,0.029426478,0.5363192,0.4342543
-1.88,-0.36,0.43440938,0.45588267,0.029144282,0.5348293,0.4360264
-1.88,-0.32,0.43660262,0.4573279,0.02886539,0.53334147,0.43779317
-1.88,-0.28,0.43878815,0.45876873,0.02858973,0.5318555,0.43955478
-1.88,-0.24,0.44096592,0.4602049,0.028317293,0.5303717,0.44131097
-1.88,-0.2,0.44313613,0.4616367,0.028047988,0.5288899,0.4430621
-1.88,-0.16,0.4452988,0.46306404,0.027781785,0.5274102,0.44480798
-1.88,-0.12,0.44745395,0.4644869,0.027518647,0.52593267,0.44654864
-1.88,-0.08,0.44960174,0.46590534,0.02725854,0.5244573,0.44828412
