regime,alpha,abs_delta,abs_error,Seed,Index
1,0.5052851438522339,0.055078864097595215,0.07676863670349121,123,104
1,0.5122596025466919,0.10848915576934814,0.007528185844421387,123,105
1,0.3747636079788208,0.1530415415763855,0.13550609350204468,123,106
1,0.4979676902294159,0.14250624179840088,0.05440032482147217,123,107
1,0.508657693862915,0.06512904167175293,0.009365320205688477,123,108
1,0.37368065118789673,0.03232693672180176,0.13353168964385986,123,109
1,0.48405107855796814,0.07501310110092163,0.1400044560432434,123,110
1,0.5072855353355408,0.05364799499511719,0.04741930961608887,123,111
1,0.39907681941986084,0.20006251335144043,0.014643311500549316,123,112
1,0.47132259607315063,0.2637803554534912,0.07775464653968811,123,113
1,0.5078878998756409,0.013379335403442383,0.03234076499938965,123,114
1,0.4416002333164215,0.34105750918388367,0.06849014759063721,123,115
1,0.4538854658603668,0.06654351949691772,0.023842446506023407,123,116
1,0.5085291266441345,0.14255082607269287,0.10893070697784424,123,117
1,0.49186110496520996,0.43186357617378235,0.0268624946475029,123,118
1,0.43703126907348633,0.12341803312301636,0.023839831352233887,123,119
1,0.5089918375015259,0.07219302654266357,0.12843811511993408,123,120
1,0.496518075466156,0.5244867205619812,0.16336651146411896,123,121
1,0.42613646388053894,0.1664174497127533,0.06632515788078308,123,122
2,0.4410771429538727,0.1647532433271408,0.15036043524742126,123,123
2,0.4893260896205902,0.061743319034576416,0.17023110389709473,123,124
2,0.47612735629081726,0.09311912953853607,0.03906761109828949,123,125
2,0.3824508488178253,0.06657624244689941,0.01650524139404297,123,126
2,0.38470321893692017,0.029171109199523926,0.00808781385421753,123,127
2,0.44105303287506104,0.018671497702598572,0.07212784886360168,123,128
2,0.4787141680717468,0.08711984753608704,0.16190364956855774,123,129
2,0.47454795241355896,0.0345914363861084,0.09132659435272217,123,130
2,0.3965000808238983,0.12855243682861328,0.06517231464385986,123,131
2,0.370588481426239,0.09411942958831787,0.054816484451293945,123,132
2,0.41570213437080383,0.12038561701774597,0.07146966457366943,123,133
2,0.46155762672424316,0.1551162749528885,0.16850411891937256,123,134
2,0.4875441789627075,0.09006127715110779,0.09079942107200623,123,135
2,0.43541771173477173,0.22218051552772522,0.10338220000267029,123,136
2,0.36612510681152344,0.0612339973449707,0.040021419525146484,123,137
2,0.39924120903015137,0.09116941690444946,0.06383258104324341,123,138
2,0.4598931074142456,0.15930721163749695,0.11853742599487305,123,139
2,0.4846644103527069,0.03808215260505676,0.03880101442337036,123,140
2,0.441908061504364,0.060795679688453674,0.14581631124019623,123,141
2,0.38223516941070557,0.042669713497161865,0.028607189655303955,123,142
2,0.38473090529441833,0.051976799964904785,0.08362138271331787,123,143
2,0.44982749223709106,0.014066733419895172,0.056139931082725525,123,144
2,0.4833836257457733,0.08189448714256287,0.13602972030639648,123,145
2,0.47236377000808716,0.015004947781562805,0.08265157043933868,123,146
2,0.3864261209964752,0.024201035499572754,0.04087817668914795,123,147
2,0.3737984597682953,0.08892202377319336,0.05866539478302002,123,148
2,0.43012064695358276,0.08601218461990356,0.079750657081604,123,149
2,0.47110241651535034,0.12430894374847412,0.1603071689605713,123,150
2,0.48310402035713196,0.05325326323509216,0.06157267093658447,123,151
2,0.41707274317741394,0.0653458833694458,0.037460148334503174,123,152
2,0.37632763385772705,0.007135868072509766,0.03949594497680664,123,153
2,0.4154422879219055,0.022834599018096924,0.022888392210006714,123,154
2,0.46789148449897766,0.09219862520694733,0.05951052904129028,123,155
2,0.472809374332428,0.06149211525917053,0.1018417477607727,123,156
2,0.44058823585510254,0.1871018260717392,0.12166103720664978,123,157
2,0.3715454936027527,0.014821887016296387,0.019782185554504395,123,158
2,0.3987627923488617,0.05582517385482788,0.03244352340698242,123,159
2,0.4652358591556549,0.06357251107692719,0.0035672634840011597,123,160
2,0.4828404188156128,0.044789642095565796,0.0887397825717926,123,161
2,0.45706087350845337,0.17932067811489105,0.10607535392045975,123,162
2,0.3722454309463501,0.12528455257415771,0.10342216491699219,123,163
2,0.38848423957824707,0.11138498783111572,0.07886886596679688,123,164
2,0.445067822933197,0.12863050401210785,0.07605323940515518,123,165
2,0.47791871428489685,0.1699177324771881,0.11248055100440979,123,166
2,0.45981425046920776,0.03859557956457138,0.07639949023723602,123,167
2,0.3851914703845978,0.041634976863861084,0.028364896774291992,123,168
2,0.376482218503952,0.0360640287399292,0.05627429485321045,123,169
2,0.42638418078422546,0.010021597146987915,0.06092742085456848,123,170
2,0.47539862990379333,0.07671788334846497,0.042043328285217285,123,171
2,0.485970675945282,0.04884982109069824,0.03477397561073303,123,172
2,0.4150541424751282,0.15213912725448608,0.09012532234191895,123,173
2,0.36541593074798584,0.022228479385375977,0.008706808090209961,123,174
2,0.4061196446418762,0.08339798450469971,0.06066972017288208,123,175
2,0.4671265184879303,0.10527792572975159,0.022840231657028198,123,176
2,0.48973432183265686,0.037842750549316406,0.08985787630081177,123,177
2,0.4400688409805298,0.08497020602226257,0.05854913592338562,123,178
2,0.3697308301925659,0.1138225793838501,0.13249123096466064,123,179
2,0.3904353082180023,0.1469932198524475,0.1387156844139099,123,180
2,0.44875368475914,0.17301350831985474,0.07041490823030472,123,181
2,0.48615238070487976,0.1150953471660614,0.19330266118049622,123,182
2,0.4571361243724823,0.0356890894472599,0.004832502454519272,123,183
2,0.3868204653263092,0.055321455001831055,0.02461373805999756,123,184
2,0.3919353485107422,0.05296748876571655,0.062384843826293945,123,185
2,0.4415208101272583,0.0800621509552002,0.11506703495979309,123,186
0,0.37384355068206787,0.1500157117843628,0.13026165962219238,123,187
