Model,Seed,step,max_abs_jacobian_difference,analytic_spectral_norm,autograd_spectral_norm,spectral_difference
C_fuzzy_contractive,456,1304,1.862645149230957e-09,0.6375727653503418,0.6375709176063538,1.8477439880371094e-06
C_fuzzy_contractive,456,1738,1.862645149230957e-09,0.7377611398696899,0.7377603650093079,7.748603820800781e-07
C_fuzzy_contractive,456,2173,1.862645149230957e-09,0.6334447264671326,0.63344407081604,6.556510925292969e-07
C_fuzzy_contractive,456,2608,1.862645149230957e-09,0.6276963949203491,0.627697229385376,8.344650268554688e-07
C_fuzzy_contractive,456,3043,5.960464477539063e-08,0.6563155651092529,0.6563153266906738,2.384185791015625e-07
C_fuzzy_contractive,456,3477,1.862645149230957e-09,0.6829636693000793,0.6829635500907898,1.1920928955078125e-07
C_fuzzy_contractive,456,3912,1.862645149230957e-09,0.6455426216125488,0.6455411314964294,1.4901161193847656e-06
C_fuzzy_contractive,456,4347,1.862645149230957e-09,0.6371710300445557,0.637170135974884,8.940696716308594e-07
C_fuzzy_contractive,456,4782,1.862645149230957e-09,0.7380740642547607,0.7380753755569458,1.3113021850585938e-06
C_fuzzy_contractive,456,5216,1.862645149230957e-09,0.6552756428718567,0.6552761793136597,5.364418029785156e-07
C_fuzzy_contractive,456,5651,1.862645149230957e-09,0.6322038769721985,0.6322043538093567,4.76837158203125e-07
C_fuzzy_contractive,456,6086,1.862645149230957e-09,0.6369345188140869,0.6369339823722839,5.364418029785156e-07
C_fuzzy_contractive,456,6521,1.862645149230957e-09,0.6651726365089417,0.6651726365089417,0.0
C_fuzzy_contractive,456,6955,1.862645149230957e-09,0.7292591333389282,0.729259729385376,5.960464477539062e-07
C_fuzzy_contractive,456,7390,5.960464477539063e-08,0.6414468288421631,0.6414462327957153,5.960464477539062e-07
C_fuzzy_contractive,456,7825,1.862645149230957e-09,0.7091448903083801,0.7091425061225891,2.384185791015625e-06
C_fuzzy_contractive,456,8260,1.862645149230957e-09,0.7359829545021057,0.7359805703163147,2.384185791015625e-06
C_fuzzy_contractive,456,8694,1.862645149230957e-09,0.7294386625289917,0.7294384837150574,1.7881393432617188e-07
C_fuzzy_contractive,456,9129,1.862645149230957e-09,0.6695502400398254,0.6695524454116821,2.205371856689453e-06
C_fuzzy_contractive,456,9564,1.862645149230957e-09,0.6709209680557251,0.6709190607070923,1.9073486328125e-06
C_fuzzy_contractive,456,9999,1.862645149230957e-09,0.6982640624046326,0.6982611417770386,2.9206275939941406e-06
D_fuzzy_unconstrained,456,0,5.960464477539063e-08,1.204568862915039,1.2045729160308838,4.0531158447265625e-06
D_fuzzy_unconstrained,456,434,1.4901161193847656e-08,1.0753463506698608,1.0753450393676758,1.3113021850585938e-06
D_fuzzy_unconstrained,456,869,5.960464477539063e-08,1.069181203842163,1.069181203842163,0.0
D_fuzzy_unconstrained,456,1304,1.4901161193847656e-08,1.0707882642745972,1.070784091949463,4.172325134277344e-06
D_fuzzy_unconstrained,456,1738,1.4901161193847656e-08,1.0493451356887817,1.0493396520614624,5.4836273193359375e-06
D_fuzzy_unconstrained,456,2173,5.960464477539063e-08,1.0707452297210693,1.0707414150238037,3.814697265625e-06
D_fuzzy_unconstrained,456,2608,5.960464477539063e-08,1.0755667686462402,1.075565218925476,1.5497207641601562e-06
D_fuzzy_unconstrained,456,3043,1.4901161193847656e-08,1.065243124961853,1.0652432441711426,1.1920928955078125e-07
D_fuzzy_unconstrained,456,3477,1.4901161193847656e-08,1.063280463218689,1.063275933265686,4.5299530029296875e-06
D_fuzzy_unconstrained,456,3912,1.4901161193847656e-08,1.0742850303649902,1.0742865800857544,1.5497207641601562e-06
D_fuzzy_unconstrained,456,4347,5.960464477539063e-08,1.0713999271392822,1.0714023113250732,2.384185791015625e-06
D_fuzzy_unconstrained,456,4782,5.960464477539063e-08,1.0489189624786377,1.0489104986190796,8.463859558105469e-06
D_fuzzy_unconstrained,456,5216,5.960464477539063e-08,1.0653952360153198,1.0653899908065796,5.245208740234375e-06
D_fuzzy_unconstrained,456,5651,1.4901161193847656e-08,1.0537662506103516,1.0537621974945068,4.0531158447265625e-06
D_fuzzy_unconstrained,456,6086,5.960464477539063e-08,1.0606238842010498,1.060624122619629,2.384185791015625e-07
D_fuzzy_unconstrained,456,6521,5.960464477539063e-08,1.0674703121185303,1.0674717426300049,1.430511474609375e-06
D_fuzzy_unconstrained,456,6955,1.4901161193847656e-08,1.0481576919555664,1.048155665397644,2.0265579223632812e-06
D_fuzzy_unconstrained,456,7390,5.960464477539063e-08,1.0687305927276611,1.068737268447876,6.67572021484375e-06
D_fuzzy_unconstrained,456,7825,5.960464477539063e-08,1.0535074472427368,1.0535149574279785,7.510185241699219e-06
D_fuzzy_unconstrained,456,8260,5.960464477539063e-08,1.0316963195800781,1.0316944122314453,1.9073486328125e-06
D_fuzzy_unconstrained,456,8694,5.960464477539063e-08,1.0330126285552979,1.033015489578247,2.86102294921875e-06
D_fuzzy_unconstrained,456,9129,1.4901161193847656e-08,1.0647026300430298,1.064699411392212,3.2186508178710938e-06
D_fuzzy_unconstrained,456,9564,5.960464477539063e-08,1.0641570091247559,1.064157247543335,2.384185791015625e-07
D_fuzzy_unconstrained,456,9999,1.4901161193847656e-08,1.0549118518829346,1.0549170970916748,5.245208740234375e-06
